390,1000,900.70,12691.02,3613.51,559148.90,OLTP-RW-MEM#smblade01-net#mysql55
400,1000,884.90,12486.72,3545.61,566392.55,OLTP-RW-MEM#smblade01-net#mysql55
410,1000,888.60,12596.49,3568.70,529184.65,OLTP-RW-MEM#smblade01-net#mysql55
420,1000,896.20,12641.88,3590.49,426585.71,OLTP-RW-MEM#smblade01-net#mysql55
430,1000,899.70,12751.12,3608.81,615726.57,OLTP-RW-MEM#smblade01-net#mysql55
440,1000,913.80,12865.46,3663.69,624824.37,OLTP-RW-MEM#smblade01-net#mysql55
450,1000,907.50,12769.51,3636.50,874217.34,OLTP-RW-MEM#smblade01-net#mysql55
460,1000,917.20,12953.48,3686.69,348229.39,OLTP-RW-MEM#smblade01-net#mysql55
470,1000,909.10,12771.66,3633.62,3464378.99,OLTP-RW-MEM#smblade01-net#mysql55
480,1000,931.79,13158.22,3741.38,364221.53,OLTP-RW-MEM#smblade01-net#mysql55
490,1000,946.80,13364.36,3791.02,704934.04,OLTP-RW-MEM#smblade01-net#mysql55
500,1000,921.70,12984.99,3692.10,726789.45,OLTP-RW-MEM#smblade01-net#mysql55
510,1000,909.90,12835.18,3647.89,599718.96,OLTP-RW-MEM#smblade01-net#mysql55
520,1000,886.40,12524.34,3558.41,687018.40,OLTP-RW-MEM#smblade01-net#mysql55
530,1000,902.60,12723.80,3622.00,459596.41,OLTP-RW-MEM#smblade01-net#mysql55
540,1000,936.50,13184.77,3752.19,346669.31,OLTP-RW-MEM#smblade01-net#mysql55
550,1000,927.30,13066.59,3720.10,507770.02,OLTP-RW-MEM#smblade01-net#mysql55
560,1000,905.10,12741.60,3623.40,526656.22,OLTP-RW-MEM#smblade01-net#mysql55
570,1000,913.80,12848.24,3656.51,707894.44,OLTP-RW-MEM#smblade01-net#mysql55
580,1000,891.80,12583.57,3574.49,384614.67,OLTP-RW-MEM#smblade01-net#mysql55
590,1000,882.00,12423.89,3537.40,384039.45,OLTP-RW-MEM#smblade01-net#mysql55
600,1000,859.70,12144.49,3450.90,553984.27,OLTP-RW-MEM#smblade01-net#mysql55
10,100,8619.52,120788.86,34486.07,16821.40,OLTP-RW-MEM#smblade01-net#mysql55
